genomeSize	err_rate	QV	gsize	N50	ctgn	L50
3025000	0.252	36.61	4669491	4657618	3	1
3025000	0.254	36.6133	4669495	4657622	3	1
3025000	0.258	36.4581	4683400	4671527	3	1
3030000	0.230	36.5848	4669472	4657599	3	1
3030000	0.234	36.586	4669471	4657598	3	1
3030000	0.232	36.582	4669466	4657593	3	1
3030000	0.236	36.5914	4669474	4657601	3	1
3030000	0.240	36.5912	4669489	4657616	3	1
3025000	0.260	36.4937	4683390	4671517	3	1
3030000	0.238	36.5853	4669485	4657612	3	1
3030000	0.242	36.6014	4669468	4657595	3	1
3030000	0.244	36.599	4669476	4657603	3	1
3030000	0.246	36.5974	4669477	4657604	3	1
3030000	0.250	36.6017	4669490	4657617	3	1
3030000	0.248	36.5912	4669483	4657610	3	1
3035000	0.220	36.5655	4669421	4657548	3	1
3030000	0.252	36.61	4669491	4657618	3	1
3035000	0.222	36.5777	4669417	4657544	3	1
3035000	0.224	36.594	4669450	4657577	3	1
3035000	0.226	36.5853	4669443	4657570	3	1
3030000	0.254	36.6133	4669494	4657621	3	1
3035000	0.228	36.5893	4669441	4657568	3	1
3030000	0.256	36.6157	4669494	4657621	3	1
3030000	0.258	36.4581	4683398	4671525	3	1
3035000	0.230	36.59	4669472	4657599	3	1
3030000	0.260	36.4937	4683389	4671516	3	1
3035000	0.234	36.5938	4669469	4657596	3	1
3035000	0.232	36.5881	4669463	4657590	3	1
3035000	0.236	36.5962	4669469	4657596	3	1
3035000	0.240	36.5964	4669479	4657606	3	1
3035000	0.238	36.5879	4669480	4657607	3	1
3035000	0.242	36.6066	4669459	4657586	3	1
3035000	0.244	36.6071	4669471	4657598	3	1
3035000	0.250	36.6009	4669490	4657617	3	1
3035000	0.246	36.6023	4669475	4657602	3	1
3035000	0.248	36.5941	4669484	4657611	3	1
3035000	0.252	36.6092	4669491	4657618	3	1
3035000	0.254	36.6128	4669492	4657619	3	1
3035000	0.256	36.615	4669494	4657621	3	1
3035000	0.258	36.4576	4683397	4671524	3	1
3035000	0.260	36.4932	4683388	4671515	3	1
3040000	0.224	36.5938	4669449	4657576	3	1
3040000	0.222	36.5782	4669413	4657540	3	1
3040000	0.226	36.5857	4669444	4657571	3	1
3040000	0.228	36.5898	4669440	4657567	3	1
3040000	0.232	36.5884	4669461	4657588	3	1
3040000	0.234	36.594	4669465	4657592	3	1
3040000	0.238	36.5922	4669477	4657604	3	1
3040000	0.236	36.599	4669469	4657596	3	1
3040000	0.244	36.6085	4669469	4657596	3	1
3040000	0.246	36.6059	4669473	4657600	3	1
3040000	0.242	36.6087	4669458	4657585	3	1
3045000	0.220	36.5657	4669418	4657545	3	1
3045000	0.222	36.5782	4669413	4657540	3	1
3040000	0.248	36.5976	4669482	4657609	3	1
3040000	0.252	36.6128	4669489	4657616	3	1
3045000	0.224	36.5943	4669452	4657579	3	1
3040000	0.254	36.615	4669489	4657616	3	1
3045000	0.226	36.5862	4669444	4657571	3	1
3040000	0.258	36.4631	4683397	4671524	3	1
3040000	0.256	36.6207	4669495	4657622	3	1
3045000	0.228	36.5876	4669440	4657567	3	1
3045000	0.230	36.5884	4669468	4657595	3	1
3045000	0.232	36.5877	4669462	4657589	3	1
3045000	0.234	36.5895	4669465	4657592	3	1
3045000	0.236	36.5976	4669468	4657595	3	1
3045000	0.240	36.5974	4669477	4657604	3	1
3045000	0.238	36.5912	4669478	4657605	3	1
3045000	0.242	36.6092	4669460	4657587	3	1
3045000	0.244	36.6085	4669470	4657597	3	1
3045000	0.248	36.5976	4669484	4657611	3	1
3045000	0.250	36.6043	4669489	4657616	3	1
3045000	0.246	36.6064	4669476	4657603	3	1
3045000	0.252	36.6116	4669489	4657616	3	1
3050000	0.220	36.5662	4669419	4657546	3	1
3050000	0.222	36.5812	4669416	4657543	3	1
3050000	0.224	36.5947	4669455	4657582	3	1
3045000	0.254	36.614	4669490	4657617	3	1
3050000	0.226	36.5872	4669450	4657577	3	1
3045000	0.256	36.6197	4669496	4657623	3	1
3045000	0.258	36.4626	4683399	4671526	3	1
